ID;ID;name;adress;coordinate;functional_zone;landuse;land_size;area;building_area;land_area;year_of_commissioning;year_of_termination;new_feature;new_feature_2;capacity;project_type;architectural_style;technical_condition;decoration;material;communications;link ;k1_1;k1_2;k1_3;k1_4;k1_5;k1_6;k1_7 ;k1_8;k1_9;k2_1 ;k2_2 ;k2_3 ;k2_4;k2_5;k2_6 ;k2_7 ;k2_8 ;k2_9;k3_1 ;k3_2;k3_3 ;k3_4;k3_5;k3_6 ;k4_1;k4_2;k4_3 ;k4_4;k4_5;k4_6;k4_7;k4_8;k4_9;k4_10;k4_11;k4_12;k4_13;k4_14;k4_15;k4_16;k4_17;i_1;i_2;i_3;i_4;I;potential;;
17;31;Школа № 9 Василеостровского района (Доходный дом Фрикке);г. Санкт-Петербург, 10-я линия ВО, 53;59.946396, 30.268581;Д;ОЗРЗ-2;1871;2450;1225;234;1940;1965;производственная;Мастерские;200;;;Исправное;Нет;Кирпич, железобетон, металл;Подключено;https://www.citywalls.ru/house425.html;0;0;0;0;0;1;1;0;0;1;1;1;0;1;1;0;0;1;1;1;1;1;1;1;1;1;1;0;1;0;0;0;0;0;1;0;0;0;1;1;1;0,222222222;0,666666667;1;0,470588235;2,36;средний;;
50;32;Школа;г. Санкт-Петербург, Заневский пр,  59к1;59.931138, 30.425552;ЖЗ;;1104;1548;516;0;1938;1970;производственная;Технический центр;440;;Сталинский неоклассицзим;Исправное;Нет;Кирпич, железобетон, металл;Подключено;https://www.citywalls.ru/house24066.html;0;0;0;0;0;1;1;0;0;0;0;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;1;0;0;0;0;1;1;1;0,222222222;0,666666667;1;0,470588235;2,36;средний;;
66;33;Школа N502;г. Санкт-Петербург, Ветеранов пр., 131;59.835383, 30.157423;Ж;;4509;2696;1348;85;1959;1974;административная;Отдел ЗАГС;200;;Сталинский неоклассицзим;Подключено;Подключено;Подключено;Подключено;https://www.citywalls.ru/house15376.html;0;1;1;1;1;1;0;1;1;1;0;1;0;1;1;1;1;0;1;0;1;1;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;1;0;0,777777778;0,666666667;0,666666667;0,235294118;2,35;средний;;
7;34;Школа ;г. Санкт-Петербург, улица Ольминского, дом 13, литера А;59.899239, 30.421618;ОД;;14202;9900,9;3905;3636;1936;2023;;Не используется;880;Типовой проект, Гинцберг А.С., Асс Л.Е.;;Аварийное ;Нет;Кирпич, -, -;Частично подключено;https://www.citywalls.ru/house13202.html;0;1;0;0;0;1;1;0;0;0;0;1;1;1;1;1;1;0;1;1;1;0;0;1;1;1;1;0;1;1;0;0;0;1;1;0;0;1;1;1;1;0,333333333;0,666666667;0,666666667;0,647058824;2,31;средний;;
53;35;Школа N18;г. Санкт-Петербург, Автовская ул.,  16;59.868957, 30.268940;ЖЗ;ЗРЗ;2582;3944;986;1263;1939;1982;офисная;Офисный центр;880;Типовой проект, тип I, арх-ры Асс Л. Е., Гинцберг А. С;Сталинский неоклассицзим;Ограниченно работоспособное;Нет;Кирпич, дерево;Подключено;https://www.citywalls.ru/house11827.html;0;0;0;0;0;1;1;0;0;1;1;1;1;1;1;0;0;0;1;1;1;1;0;1;1;0;1;1;1;1;0;0;0;1;1;0;0;1;1;1;0;0,222222222;0,666666667;0,833333333;0,588235294;2,31;средний;;
5;36;Школа N 387 Кировcкого района ;г. Санкт-Петербург, муниципальный округ Нарвский округ, Турбинная улица, дом 50, строение 1;59.887277, 30.265724;ОД;ЗРЗ;6122;3409,2;2053,8;1137;1936;1992;административная;Центр образования N 162 Кировского района;880;"Институт ""Ленпроект"", 6 мастерская, Троцкий Н. А., Мартынов А. С.";-;Исправное;Да;Кирпич, железобетон, металл;Подключено;https://www.citywalls.ru/house5201.html;0;0;0;0;1;1;1;1;0;1;0;1;0;1;1;0;0;1;1;1;1;1;1;0;1;0;0;1;0;0;0;1;0;1;0;0;0;1;1;1;1;0,444444444;0,555555556;0,833333333;0,470588235;2,30;средний;;
25;37;Школа;г. Санкт-Петербург, ул. Чехова, 15;59.938324, 30.353220;ЖЗ;ОЗРЗ-1;1358;2328;582;0;1937;2009;административная;Отдел милиции;400;;Сталинский неоклассицзим;Исправное;Нет;Кирпич, железобетон, дерево;Подключено;https://www.citywalls.ru/house8439.html;0;0;0;0;1;1;1;1;0;1;1;0;0;1;1;0;0;1;1;1;0;1;1;1;1;0;1;1;1;0;0;0;0;1;0;0;0;0;1;1;1;0,444444444;0,555555556;0,833333333;0,470588235;2,30;средний;;
12;38;Школа;г. Санкт-Петербург, Волхонское шоссе, 48;59.848375, 30.018660;Р;;14795;1935;645;10000;1917;1971;;Не используется;200;;;Ограниченно работоспособное;Нет;Дерево;Подключено;https://www.citywalls.ru/house34983.html;1;1;1;1;0;1;0;0;0;1;1;1;1;1;0;1;0;0;1;0;1;1;0;1;1;0;1;0;0;0;0;0;0;1;0;0;1;0;1;1;1;0,555555556;0,666666667;0,666666667;0,411764706;2,30;средний;;
23;39;Школа. Флигель;г. Санкт-Петербург, ул. Новоселов, 11;59.881927, 30.457595;Ж;;2645;2942;1471;264;1934;2011;офисная;Магазин автозапчастей;400;;Констуктивизм;Исправное;Нет;Кирпич, железобетон, металл;Подключено;https://www.citywalls.ru/house19536.html;0;0;0;0;0;1;0;0;0;1;1;1;0;1;0;1;1;1;1;1;1;1;1;1;1;0;0;1;0;1;0;0;0;1;0;0;0;0;1;1;1;0,111111111;0,777777778;1;0,411764706;2,30;средний;;
40;40;Школа;г. Санкт-Петербург, Пушкин, Оранжерейная ул., 42;59.724841, 30.413740;Ж;ЗРЗ;3234;4185;1395;1000;1936;1950;жилая;Жилой дом;440;;;Исправное;Да;Кирпич, железобетон, металл;Подключено;https://www.citywalls.ru/house20576.html;0;0;0;0;1;1;0;0;0;1;1;1;1;1;0;0;0;1;1;1;1;1;1;1;1;0;1;0;0;1;0;1;1;0;0;0;0;0;1;1;0;0,222222222;0,666666667;1;0,411764706;2,30;средний;;
